,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,-1576.3084780845218,-2192.662471801928,-1055.7661217988882,-568.1086172039816,-704.5555719793147,-2478.6482922109462,-2255.062043497794,-2348.9645259712265,-1323.5929307194167,-1880.9490143449084,-2434.1558425195626,-2011.325020640116,-1442.6563748232966,-1267.592520709668,-1646.1932311578003,-1332.1048947950092,-1490.592639666355,-1747.6856848310058,-2458.888653534008,-1702.6450796069762,-685.4562936454543,-1971.7446912430273,-2454.5520984751356,-1372.416497379663,-2098.7485185315813,-2481.9175481493658,-699.436352042399,-2285.1348693093337,-2454.4347939148633,-2456.0574709417524,-941.1352078787738
1,-1790.8258151265964,-2206.212727809181,-1113.284491731882,-500.0,-947.3177520058297,-1707.8135663732933,-2116.4432575276664,-1061.5380750921865,-1299.4442460258515,-1888.3546132018057,-2500.0,-2329.609933715612,-2500.0,-1345.976477458051,-1620.606289600239,-2042.8285219680397,-1159.1770992543582,-1687.0918463194307,-2051.2866299854977,-1617.1715903890697,-831.4893329202724,-2296.425048053151,-2237.24010655808,-1354.5486982650928,-2500.0,-736.3934181857004,-703.142421071958,-2286.203824416308,-1741.2504516225172,-2449.6743222115556,-610.7782366461695
2,-1612.8480618092128,-2500.0,-711.5627195087304,-622.4698274717792,-500.0,-2178.9048783862672,-2500.0,-748.349656985496,-1037.1603168110246,-2392.1240248190757,-2500.0,-2250.985165506799,-1678.0721048856612,-1105.748065490538,-1742.5210147293465,-2049.999627576588,-1590.469710192503,-2024.2715299929496,-2424.2552661214713,-2131.9227542065855,-809.7278698446918,-2152.3423685727553,-2035.8780315455356,-1763.7335199238912,-2500.0,-2500.0,-725.8853024905779,-2500.0,-2088.5298905095956,-2471.0365610544513,-1590.7003764203314
3,-1595.971929731962,-2500.0,-783.8115195991365,-500.0,-500.0,-1391.7829085043259,-2372.1167327244675,-500.0,-1326.9264257961627,-2500.0,-2500.0,-2336.6050285571237,-1906.5568102140871,-1234.369015500097,-1714.7610423667204,-2500.0,-1844.9172696937908,-2259.7625939178033,-2064.903452195465,-2386.978776827488,-500.0,-2127.4021642843586,-2403.308264504948,-1627.7820957569218,-2500.0,-2386.5266538051,-630.5423095604109,-2500.0,-2481.0490754121956,-2500.0,-1137.614622110108
4,-1246.3215464668651,-2500.0,-1028.3371727266795,-500.0,-500.0,-1272.5433646671415,-2500.0,-500.0,-1341.424665782386,-2500.0,-2500.0,-1885.602355167985,-2360.3545902013543,-2035.3744392580065,-1393.2899513401333,-2500.0,-2074.9103521412744,-2351.0910982725795,-2220.531854437706,-2500.0,-500.0,-2289.636535949283,-2500.0,-1937.6511080954147,-2500.0,-2500.0,-500.0,-2500.0,-2103.7542046989615,-2444.4990375157317,-1816.3607784326869
5,-1285.9984397778862,-2500.0,-1221.0932131993131,-500.0,-500.0,-636.8076647950055,-2500.0,-500.0,-1511.7923979322022,-2500.0,-2500.0,-1845.7772355435686,-2500.0,-2137.6458791077093,-1431.3605595900988,-2446.738300994253,-2352.8319581946753,-2500.0,-2307.5886400567997,-2500.0,-500.0,-2178.0413237185503,-2500.0,-1991.8761017209133,-2500.0,-2500.0,-546.1665352537149,-2500.0,-2480.8708875944426,-2468.421159100234,-1344.1799115150602
6,-533.1972147808317,-2500.0,-1206.6720611080927,-500.0,-500.0,-500.0,-2500.0,-500.0,-1741.0831152009398,-2500.0,-2500.0,-1785.5139537074926,-2500.0,-2500.0,-1220.5375335932204,-2500.0,-2257.0149221051265,-2500.0,-2500.0,-2500.0,-500.0,-2314.8255356949426,-2500.0,-2059.8856583701254,-2500.0,-2500.0,-500.0,-2500.0,-2500.0,-2489.687894340496,-1605.4325900773015
7,-952.9077681538798,-2500.0,-1417.822075932796,-500.0,-500.0,-680.4536599073103,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-1322.9290168040202,-2500.0,-2500.0,-843.3148546900184,-2500.0,-2460.8644573360193,-2500.0,-2500.0,-2500.0,-500.0,-2500.0,-2500.0,-2050.725655357763,-2500.0,-2500.0,-500.0,-2500.0,-2494.6195954887803,-2450.965730232449,-1460.2119185028566
8,-830.3204977494247,-2500.0,-2500.0,-500.0,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-1118.6485430803198,-2500.0,-2500.0,-828.5467689932523,-2500.0,-2487.760220960652,-2500.0,-2500.0,-2500.0,-500.0,-2500.0,-2500.0,-2026.7322583367313,-2500.0,-2500.0,-500.0,-2085.012759014523,-2500.0,-2500.0,-1332.4436435216862
9,-923.0047436984147,-2500.0,-2500.0,-500.0,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-1219.5683205133591,-2500.0,-2500.0,-1248.8058473656897,-2487.8593563874247,-2500.0,-500.0,-2500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2365.841649437826,-2500.0,-611.3373825913877,-2193.703983430831,-2500.0,-2500.0,-1416.7897338538442
10,-860.2651634984006,-2500.0,-2500.0,-500.0,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-998.8458827271138,-2500.0,-2500.0,-1047.6813122273797,-2484.3862585257816,-2500.0,-716.3747926458243,-2500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2470.332405245996,-2500.0,-575.02562778348,-2261.6275868559583,-2500.0,-2500.0,-1605.5095242198922
11,-544.9929486099122,-2500.0,-2500.0,-500.0,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-684.6837404371439,-2500.0,-2492.8391449817004,-1196.3842894655043,-2485.8449816914867,-2500.0,-500.0,-2500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2461.432473123968,-2500.0,-648.5509558847967,-2500.0,-2500.0,-2500.0,-1594.631275117409
12,-500.6819704103093,-2500.0,-2500.0,-500.0,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-873.3119742630206,-2500.0,-2500.0,-1042.6523494916191,-2499.089801690879,-2500.0,-500.0,-2500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-2500.0,-2500.0,-691.4838564567187,-2424.11399035952,-2500.0,-2500.0,-1617.8552030531284
13,-500.0,-2500.0,-2500.0,-500.0,-500.0,-500.0,-2500.0,-500.0,-2500.0,-2500.0,-2500.0,-1592.8024091903555,-2500.0,-2500.0,-1059.6610521237496,-2471.739552940837,-2500.0,-500.0,-2500.0,-2500.0,-500.0,-2494.9959760655534,-2500.0,-2500.0,-2500.0,-2500.0,-613.4944988730722,-2500.0,-2500.0,-2500.0,-1845.1436917818164
